sector,distinct part in area of something 
available,able to get or use something
assessment,to evaluate something
equate,equal to
identify,to identity what something is
derive,"to derive(have,get,take) something from something else"
factor,ปัจจัย
procedure,series of step
established,create something to accepted widely or long time
authority,the quality of  power or confidence  to control someone or something
consistent,have typical harmonic or not be contray
interact,someone do something with other togerther
distribution,spread product or something
legislation ,ragulate legal process
commission,to order or request (something) to be made or done
compensates,return something derive from lost something
construction ,the act or process of building something
acquisition,the act of getting or acquiring something
sought,past participle of SEEK
conduct,the way that something is managed or directed
framework,a supporting structure :a structural frame
imply,to express (something) in an indirect way :to suggest (something) without saying or showing it plainly
dominant ,"most, more or remarkable"
illustrated ,":to explain or decorate a story, book, etc., with pictures"
outcomes,something that happens as a result of an activity or process
shift,a change in position or direction or something from someone
deductions,:the act or process of using logic or reason to form a conclusion or opinion about something
specify,to name or mention (someone or something) exactly and clearly :to be specific about (something)
justification,an acceptable reason for doing something
partnership,the state of being partners
initial,occurring at the beginning of something
validity,the state of being valid
infected ,ติดเชื้อ
precursor,something that comes before something else and that often leads to development
solely,เพียงอย่างเดียว
abstract,"การแยก,ถอดแบบ , สกัด สาระสำคัญ ออกมาจากสิ่งใดสิ่งหนึ่ง ซึ่งเป็นแหล่งหรือรูปธรรม"
distill,การสกัดออกมา
ubiquitous,เป็นที่รู้จักแพร่หลาย
daunting,กังวลเล็กน้อย
pre-requisites,สิ่งที่ต้องมีก่อน
primarily,ให้เป็นอันดับแรก
competent,มีความรู้ความสามารถพอ
delve,ดำดิ่ง
struggle,ต่อสู้ฝ่าฟัน
fore,เอามาไว้ด้านหน้า
intuitively,รับรู้อย่างง่ายดาย
formalize,จัดระเบียบแบบแผน
complaint,การบ่นถึงปัญหา
globe,ของที่มีรูปทรงกลม (มักใช้เปรียบ กับทั่วโลก)
literature,งานเขียนที่แสดงเนื้อหาเรื่องใดๆ (something else)
pointing,การเติมบางสิ่งเข้าไป
Equipped,"บรรจุบางสิ่งบางอย่างเสมือนอุปกรณ์,เครื่องมือ"
fit,ทำให้พอดีหรือใช้ได้
respective,แต่ละ (แตกต่างกันไปเป็นของตนเอง)
generalize,ทำให้ใช้ได้เป็นการทั่วไป
Astute,ผู้ชาญฉลาดที่ใช้ความรู้ให้เป็นประโยชน์ต่อตนเอง
advent,การมาถึง....
formulate,การเตรียมการอย่างระมัดระวังโดยใส่ใจรายละเอียด
consolidate,มารวมกันเป็นหนึ่งหรือทำให้แข็งแรงขึ้น
elusive,"ยากที่จะจับต้อง,เข้าใจ"
astoundingly,ประหลาดใจอย่างไม่น่าเชื่อ
reproduce,ทำขึ้นซ้ำ
immense,extremely large
expenditures,จำนวนของบางสิ่งที่ใช้เพื่อบางอย่างที่ต้องการ
toward,"มุ่งไปทาง,มุ่งไปยังทิศทาง"
conversion,การเปลี่ยนผ่าน
deployment,การใช้บางสิ่งอย่างมีประสิทธิภาพ
profoundly,ส่งผลกระทบอย่างลึกซึ้ง
variety,หลากหลาย
intensive,กินแรงมาก
deck,"ชั้น,ที่นั่ง, ติดอยู่"
equation,การเท่ากันของทั้งสองสิ่งโดยใช้เครื่องหมาย =
appropriate ,เหมาะกับเป้าหมายหรือสถานการณ์
participation,การมีส่วนร่วม
purchase,จ่ายตังค์ซื้อ
sought (v.2),มองหา (seek)
publish,การตีพิมพ์เผยแพร่
constant,"คงที่,ไม่เปลี่ยนแปลง"
justification,การให้เหตุผล
reliance,การพึ่งพา
exclude,การกีดกัน ตรงข้ามกับ include
met (v.2),make
proportion,ส่วนหรืออัตราส่วน
minority,"เสียงส่วนน้อย,ชนกลุ่มน้อย,จำนวนที่น้อยกว่า"
sequence,ลำดับ
corresponding,"สัมพันธ์กัน,สอดคล้องกัน"
sufficient,เพียงพอต่อความต้องการ
range,"จำนวนของระยะ,กลุ่ม,ขอบเขตที่ไปถึง"
assert,"ยืนหยัด,ยืนกราน,ยืนยัน"
coordination,"การสอดประสาน , ประสานงาน"
